Price,Close,High,Low,Open,High-Low,Open-Close,Volume,SMA_2,SMA_5,EMA_5,EMA_8,RSI_7,ATR_10,ADX_10,CCI_10,MACD,MACD_signal,MACD_hist,STOCH_slowk,STOCH_slowd,BB_upper,BB_middle,BB_lower
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,,,^NSEBANK,,,,,,,,,,,,,,,,
Datetime,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27 09:30:00+05:30,51408.5,51452.60156,51373.55078,51409.75,79.05078125,1.25,0,51408.69922,51342.55,51356.65417,51321.45801,77.37118408,86.94417906,38.72849938,135.2673109,55.45137517,40.80494578,14.64642939,90.59017673,85.61775247,51430.47454,51248.44308,51066.41162
2025-03-27 09:35:00+05:30,51377.35156,51486.30078,51376.25,51406.44922,110.0507813,29.09765625,0,51392.92578,51381.88047,51363.5533,51333.8788,67.79077919,89.25483928,40.1442063,100.0190953,52.39482791,45.44089863,6.95392928,84.15722378,89.76345594,51451.58145,51262.58594,51073.59043
2025-03-27 09:40:00+05:30,51476.10156,51479.60156,51372.10156,51375.05078,107.5,-101.0507813,0,51426.72656,51411.79063,51401.06939,51365.48386,77.90841631,91.07935535,41.20264656,95.90810556,62.4920509,52.26135954,10.23069136,85.69009356,86.81249802,51497.18393,51281.78962,51066.39532
2025-03-27 09:45:00+05:30,51484.94922,51556.94922,51454.30078,51478.39844,102.6484375,-6.55078125,0,51480.52539,51431.16016,51429.02933,51392.03172,78.61073256,92.23626356,43.26962615,110.7142213,67.38727909,58.31172736,9.075551733,78.77085696,82.87272477,51530.0051,51306.46094,51082.91678
2025-03-27 09:50:00+05:30,51566.30078,51582.69922,51466.64844,51484.5,116.0507813,-81.80078125,0,51525.625,51462.64063,51474.78648,51430.75818,84.05009889,94.61771533,45.42426355,116.7083793,79.25550818,66.68923969,12.56626849,85.12903182,83.19666078,51577.46952,51336.69671,51095.9239
2025-03-27 09:55:00+05:30,51614.75,51614.75,51549.80078,51567.10156,64.94921875,-47.6484375,0,51590.52539,51503.89063,51521.44099,51471.64525,86.44514999,91.65086567,47.70285921,136.8454915,90.20816915,76.09681147,14.11135768,86.53243309,83.47744063,51633.49124,51366.10742,51098.7236
2025-03-27 10:00:00+05:30,51596.69922,51625.39844,51554.94922,51615.10156,70.44921875,18.40234375,0,51605.72461,51547.76016,51546.52706,51499.43502,81.14859131,89.53070098,49.86291285,111.6684658,90.65323082,81.91937921,8.733851609,93.62770375,88.42972289,51672.10382,51392.76814,51113.43246
2025-03-27 10:05:00+05:30,51615.69922,51634.10156,51582.64844,51599.14844,51.453125,-16.55078125,0,51606.19922,51575.67969,51569.58445,51525.27151,82.46774479,85.72294338,51.89991867,102.4214203,89.9398714,85.12757609,4.812295315,92.81162616,90.99058767,51707.05777,51419.66099,51132.26422
2025-03-27 10:10:00+05:30,51597.10156,51642.05078,51588.64844,51616.39844,53.40234375,19.296875,0,51606.40039,51598.11016,51578.75682,51541.23374,76.36536341,82.49088342,53.82197842,84.08627732,83.17529755,84.34666467,-1.171367126,84.26950945,90.23627979,51723.93741,51446.89676,51169.85612
2025-03-27 10:15:00+05:30,51554.39844,51629.39844,51546.69922,51589.60156,82.69921875,35.203125,0,51575.75,51595.72969,51570.63736,51544.15923,63.73195101,82.51171695,53.00535641,46.00742489,69.53836518,78.42334488,-8.884979694,57.40445251,78.16186271,51720.7823,51471.15011,51221.51792
